4.9176,1.0,3.4720,0.998,1.0.1,7,4,42,3,1,0
5.0208,1.0,3.531,1.5,2.0,7,4,62,1,1,0
4.5429,1.0,2.275,1.175,1.0,6,3,40,2,1,0
4.5573,1.0,4.05,1.232,1.0,6,3,54,4,1,0
5.0597,1.0,4.455,1.121,1.0,6,3,42,3,1,0
3.891,1.0,4.455,0.988,1.0,6,3,56,2,1,0
5.898,1.0,5.85,1.24,1.0,7,3,51,2,1,1
5.6039,1.0,9.52,1.501,0.0,6,3,32,1,1,0
16.4202,2.5,9.8,3.42,2.0,10,5,42,2,1,1
14.4598,2.5,12.8,3.0,2.0,9,5,14,4,1,1
5.8282,1.0,6.435,1.225,2.0,6,3,32,1,1,0
5.3003,1.0,4.9883,1.552,1.0,6,3,30,1,2,0
6.2712,1.0,5.52,0.975,1.0,5,2,30,1,2,0
5.9592,1.0,6.666,1.121,2.0,6,3,32,2,1,0
5.05,1.0,5.0,1.02,0.0,5,2,46,4,1,1
5.6039,1.0,9.52,1.501,0.0,6,3,32,1,1,0
8.2464,1.5,5.15,1.664,2.0,8,4,50,4,1,0
6.6969,1.5,6.902,1.488,1.5,7,3,22,1,1,1
7.7841,1.5,7.102,1.376,1.0,6,3,17,2,1,0
9.0384,1.0,7.8,1.5,1.5,7,3,23,3,3,0
5.9894,1.0,5.52,1.256,2.0,6,3,40,4,1,1
7.5422,1.5,4.0,1.69,1.0,6,3,22,1,1,0
8.7951,1.5,9.89,1.82,2.0,8,4,50,1,1,1
6.0931,1.5,6.7265,1.652,1.0,6,3,44,4,1,0
8.3607,1.5,9.15,1.777,2.0,8,4,48,1,1,1
8.14,1.0,8.0,1.504,2.0,7,3,3,1,3,0
9.1416,1.5,7.3262,1.831,1.5,8,4,31,4,1,0
12.0,1.5,5.0,1.2,2.0,6,3,30,3,1,1
